time,aar,t_stat,p_value,significant
2022-02-16 07:00:00+00:00,0.013847692048308161,2.5983122032593533,0.02207656587449547,True
2022-02-17 07:00:00+00:00,0.0006845183685981188,0.16727899577316382,0.8697246083331007,False
2022-02-18 07:00:00+00:00,-0.008263940262810708,-1.3857592968998729,0.18913381858445089,False
2022-02-21 07:00:00+00:00,-0.0247026935057538,-1.9712619955047677,0.07036249521799309,False
2022-02-22 07:00:00+00:00,-0.005160288411217801,-0.4416981075968318,0.665965770462948,False
2022-02-24 07:00:00+00:00,-0.08498380590015271,-3.532520827621577,0.0036775093202494613,True
2022-02-25 07:00:00+00:00,0.014183972346708467,0.7113572124290345,0.48943123202274963,False
2022-03-24 07:00:00+00:00,-0.04231522559299291,-1.7485650367917176,0.10392364009027788,False
2022-03-25 07:00:00+00:00,-0.025745017104265498,-1.4810730928932025,0.16241388443247473,False
2022-03-28 07:00:00+00:00,-0.022407930645239105,-1.1399978456286595,0.27485609133186717,False
